input,pnbi,pnbi_std,ni0,ni0_std,te0,te0_std,tite,tite_std,taue,taue_std,betan,betan_std,ti0,ti0_std,tripleprod,tripleprod_std
1.0,6823997.437264843,26048.505040709635,3.694875054230726e+19,8.835286988979421e+17,1389.3748688746768,42.05040304336567,1.0486810496504595,0.004347603409511127,4.366871897974403,0.017427739841011113,2.053374531514024e-08,1.0150917881618301e-09,1457.0110958494656,44.50924731381026,2.350894111355579e+23,5.782012919652594e+21
1.25,6380850.383440043,80982.41880862448,3.6523659212632543e+19,9.823634055902049e+17,4473.384150018393,65.22042074269835,0.9690022119061706,0.00581921526644123,0.1692801217590336,0.0032446317059779757,0.024168045481391672,0.0002983077864651435,4334.719136073827,68.35000480414669,2.6800395784054685e+22,8.99661822661121e+20
1.5,6374653.891531251,83510.67079236639,3.702224680645247e+19,9.8094119642158e+17,3964.5200663791584,72.94962350499073,1.0286514759652197,0.008996038369039809,0.17615743066128012,0.0032491959640716284,0.020727622655241064,0.0002294561172780627,4078.109417774652,83.08400976136541,2.6596385115860554e+22,8.895817148752868e+20
1.75,6376532.2783025,83415.38018716173,3.714172957881337e+19,9.680042102724972e+17,4096.909779037508,74.48299891045562,1.1033763180749296,0.007996609498839135,0.18036305285701773,0.0031146484485738524,0.01823912056330509,0.00018507004252023992,4520.433227479579,88.47212765866955,3.0282362912253153e+22,9.718639419354245e+20
2.0,6379561.279177049,83651.46917730283,3.7247032413336445e+19,9.576818822265216e+17,4261.610356566692,73.14666177157487,1.1084436910389879,0.007837951716231967,0.18420876758262195,0.003162207471790395,0.016293499668722847,0.00016482812313822092,4723.755113402761,87.68985379914294,3.2410769998997352e+22,1.0278738342829e+21
2.25,6389947.693333093,84739.69330363144,3.7913997113996255e+19,9.596238694817853e+17,3979.7600984159385,121.66713139413487,1.0315437455295153,0.012427629619134736,0.19021535489842797,0.0039289770763250124,0.014732134850767147,0.00016991427314715665,4105.29663822889,134.89880742636427,2.960667853319807e+22,1.0308969417729084e+21
2.5,6571078.881892264,88093.49907850708,3.826040662973433e+19,9.239601733085432e+17,3582.303696506638,91.71037506397734,1.057071400133846,0.007740675794362093,0.25206897743911744,0.004858214659090878,0.011971838166441104,0.00014952159053688906,3786.750784170924,100.83224681893878,3.6520415084008765e+22,1.1596432405520256e+21
2.75,6570511.567057749,88580.52856177796,3.801954768102465e+19,9.540208725568854e+17,4466.766717403622,112.96136269118075,0.9930943254037197,0.008255194811738625,0.19408901590611424,0.003768014418459691,0.012915085620297986,0.00013908940302580976,4435.920679955738,118.08613587665769,3.2733442057056614e+22,1.0735623852472329e+21
3.0,6574957.423206817,90406.13992345771,3.730935873623238e+19,9.493239979327744e+17,4307.157783496976,66.71199450430414,1.0402819836453399,0.008994438806006536,0.1933124509900555,0.003041946771784779,0.011951739505482775,0.00011829108098326893,4480.658642889699,79.48008987146872,3.23161392201054e+22,1.0063795506082998e+21
3.25,6577059.003663029,88713.38031910888,3.709411975428867e+19,9.439585953485603e+17,4250.791325802214,63.556624199381574,1.0824301022236416,0.008342965913747584,0.19463548517885776,0.002910104341184922,0.011200531418968228,0.00010631528022665304,4601.184489319458,77.39861117332465,3.3219778993916826e+22,1.0133612505617248e+21
3.5,6573624.562738014,91599.33805920428,3.769824436662011e+19,9.396671463124531e+17,4421.732574310405,68.82003069357225,1.1171830299248866,0.007954460996264444,0.19931648465912527,0.0032088034074524924,0.010644776373550298,9.823846773411601e-05,4939.884594885667,84.54786735324006,3.711770769181966e+22,1.1326566247893613e+21
3.75,6574491.562074857,90854.26273538914,3.799243274689978e+19,9.432104039321508e+17,4900.098659639689,90.11487047143923,1.1247656013091465,0.00768626734209242,0.20264471094093417,0.0034762119862712607,0.010202496765119584,9.422447964406496e-05,5511.462415383778,108.12956391368552,4.243255927684285e+22,1.312881414527117e+21
4.0,6575193.966429054,91494.14041835126,3.7956863075200745e+19,9.402710108014771e+17,4621.692079302118,68.25354790640704,1.125049797808699,0.007905599932167346,0.20440498848148014,0.0034193347242075546,0.009560860877725967,9.085912369900967e-05,5199.633739352914,85.03802566630844,4.034173357067387e+22,1.2387393578034376e+21
