input,pnbi,pnbi_std,ni0,ni0_std,te0,te0_std,tite,tite_std,taue,taue_std,betan,betan_std,pohm,pohm_std,ti0,ti0_std,tripleprod,tripleprod_std
0.0,0.0,0.0,3.6859356732138172e+19,1.0006779366204396e+18,3751.7006049564966,404.90509650293035,0.8638207518195142,0.016104329620223474,0.2948019100479495,0.0110149637578931,0.0189569954345823,0.0005034262220026921,568900.0820886709,154438.3427418891,3240.796837175247,354.94543589964286,3.521517500668493e+22,1.7539401746626243e+21
0.25,218590.55454478317,2649.894754209132,3.684441280911475e+19,1.0036110580321981e+18,3749.2678613271023,397.8831216250038,0.8645156947919262,0.014738961928063092,0.28598490778931746,0.010254215979288519,0.019347712983382507,0.0004900106562289344,555170.8461325772,154754.618834613,3241.300910096239,348.3867549382521,3.4153412658677204e+22,1.644433427792376e+21
0.5,437248.03677609074,5303.3101456265695,3.683012494728834e+19,1.0053792199133349e+18,3749.649210659774,390.41794174112056,0.866009965824,0.01333762976798759,0.2777707371230234,0.009592726981691321,0.019734331228306624,0.00048147061786689026,542494.6420105271,155972.9356750828,3247.2335847754593,341.7845733957418,3.32202742602535e+22,1.5492939914381427e+21
0.75,655958.5398672431,7957.511470116496,3.6813339126555312e+19,1.0059539039765116e+18,3751.246607647829,382.6750097393613,0.8682442838257403,0.012040943908700889,0.27007185348509427,0.00900521333925013,0.02011886874720058,0.0004767270942658527,531192.5091765168,156518.06111979694,3256.998424310927,335.3115595068129,3.2381881936600092e+22,1.466449491967211e+21
1.0,873820.1771564338,10763.488631590293,3.702595124138832e+19,1.0130945684553192e+18,3739.4469217754063,386.3217886144276,0.8762786141862934,0.010908726472616662,0.2657907904786851,0.00881376592140662,0.0205632056103678,0.0004633616520460556,505813.6974098499,155476.19407841688,3276.7973664365536,340.9744349012784,3.2247476844423532e+22,1.4433266281271266e+21
1.5,1312472.4350836233,15936.833004145785,3.6764478985589973e+19,1.0115634624879296e+18,3760.0689043559933,362.73712645462916,0.8783496695440302,0.009324181294148368,0.2496161764239802,0.007550445012655045,0.021246990007466094,0.0004491414044839321,502237.1469075632,158367.74157220652,3302.65527960387,320.53319256814683,3.030849614354194e+22,1.2804052274886762e+21
2.0,1750382.4045595215,21267.118885995853,3.6729882562119537e+19,1.0155459810913797e+18,3769.739366527833,354.01823991368195,0.8864844718190379,0.008342495183139143,0.23771723302805647,0.0067910094477168425,0.022026733941695898,0.00042843219781321776,486269.3454039371,158583.20723904646,3341.8154112318607,315.4034880311005,2.9178479961439853e+22,1.1920897513595955e+21
2.5,2188642.9177444954,26609.115093776298,3.6695980605713863e+19,1.019994943844739e+18,3785.2714905446937,342.1220422894483,0.894985279136649,0.007627249822321691,0.22728061183101655,0.0061886678387385475,0.02270547463494493,0.00042046642822224573,470599.3631522917,161003.3063628142,3387.7622615731425,307.55232036358973,2.82549025156366e+22,1.1254764112108547e+21
3.0,2626909.9320060764,31970.303805414547,3.665805709065879e+19,1.0227551379944832e+18,3798.37199307511,335.3266155402249,0.9035394736436645,0.007166683168135774,0.2176442266368092,0.0056469898966551016,0.023464711542160867,0.00040256997674162283,457513.23959145485,161426.96401196544,3431.979031325922,304.2012624915979,2.7381751217478206e+22,1.06560733683199e+21
3.5,3065500.093750978,37330.72627623541,3.6623140002246345e+19,1.02722167702324e+18,3813.8871538495405,328.16089970799544,0.9121238534510542,0.0067936452452671044,0.20900133347974453,0.005213495506655143,0.024168811106209397,0.0003926730345498034,444889.789606238,162926.79406779452,3478.7374473967166,300.4427178658944,2.662724819888822e+22,1.0189689845788724e+21
4.0,3503948.239214252,42674.18546049728,3.658504439550765e+19,1.0288083904352476e+18,3831.7818216355145,321.28742688043053,0.9206081131381619,0.006541980846585396,0.20114124286921262,0.004830390522254886,0.02486536648745181,0.00038813956727845074,433102.7014909085,164496.99016046096,3527.56943277298,296.8401485686496,2.5958541425438605e+22,9.775053650390868e+20
4.5,3942505.089065009,48044.95462336317,3.6553567825208726e+19,1.0330931924767958e+18,3851.8804419298453,313.4543174375917,0.9287648357686615,0.006265987995279843,0.1940362678620357,0.004499895082067721,0.025502493607296443,0.00039000870896334307,421524.34805998555,166509.66153166673,3577.4911060494924,292.12412885031756,2.5374135125709756e+22,9.43325793342487e+20
5.0,4380821.714712344,53429.67654461949,3.6517434040648225e+19,1.0347834012872504e+18,3870.507015579734,309.8455734039219,0.9365000448147479,0.005998245917623416,0.18733539539451058,0.004199866175157738,0.02623297018283209,0.00037351305592068693,411420.8490529086,167241.23472587904,3624.729993546217,291.0976667586908,2.479680668359653e+22,9.099454819940454e+20
5.5,4819503.730640255,58782.11586197634,3.6483658573618913e+19,1.0387083099800246e+18,3892.5746575881126,302.72885116427653,0.9438315153938512,0.005793954967146453,0.18130694701756053,0.003948140321739527,0.026852672046179634,0.00037930609533020536,401007.1242359677,169460.69372068002,3673.93463785509,286.61376261672973,2.4302125169255465e+22,8.837585545924744e+20
6.0,5257893.96530101,64186.857677030624,3.644724166046884e+19,1.0414062159048008e+18,3912.30173155336,299.6000555859745,0.9507667376386099,0.005646575729678676,0.17557120902478549,0.0037131383885522506,0.027571902307566735,0.00036189636005128475,392079.2909238904,169498.8250460363,3719.6863539668725,285.7051050765615,2.38025939282544e+22,8.578721979559557e+20
6.5,5696735.407721264,69537.99446971895,3.641433566785839e+19,1.0429903156962406e+18,3936.436366292226,293.7315403562081,0.9574557904934251,0.005706470226157937,0.1703913776291695,0.003533183817729769,0.028178323059087403,0.00037501681968303,382609.575570096,172084.22289815842,3768.9637928153893,282.1306408165239,2.338524750787973e+22,8.385730779639775e+20
7.0,6135226.628687429,74919.96866405405,3.6378159355865092e+19,1.0443327884046364e+18,3956.116641471947,291.981621271132,0.9638617879850179,0.005763082682715745,0.16542472317587292,0.0033458599085546296,0.0288886177063304,0.0003568588939983107,374317.9525098548,172454.39399637133,3813.149659526435,282.3519399598829,2.29469510145063e+22,8.174294184393329e+20
7.5,6574349.140123745,80322.0297372685,3.6349569306834264e+19,1.0479135094001848e+18,3978.58729402464,287.0245064106659,0.9701600467092623,0.005903523920226872,0.1609164208067709,0.003197603615497382,0.02948020370890543,0.0003712187794717755,365917.2851370868,174730.88331071346,3859.866435007822,279.44852950479077,2.257729514615155e+22,8.023652961282007e+20
8.0,7012952.683487246,85731.9061656417,3.6314801849713295e+19,1.0482031871174353e+18,3998.2714738077525,284.6957866529495,0.9762154037913194,0.006019420834108181,0.1565650542559382,0.0030484551279767766,0.03018309614974242,0.0003519020265209323,358545.94122984126,174868.5974526801,3903.174201270549,278.9645369324474,2.219200012593437e+22,7.846952519862455e+20
8.5,7452218.976687955,91190.44799975588,3.628616052195926e+19,1.0506205264884387e+18,4020.305535423599,279.7809649151561,0.9822791586764125,0.0062428026785962465,0.15260589649157522,0.0029323569218763098,0.030762218856811387,0.0003705845683885206,350790.4446774912,177178.22142733014,3949.062338958017,275.966656661929,2.186786184273341e+22,7.725071572202032e+20
9.0,7890936.7069785455,96622.33277889229,3.6252667670851076e+19,1.0535364003485114e+18,4039.9854613151006,278.49962344635406,0.9880880178841486,0.006376366876566437,0.14875775694411264,0.0028036097290512407,0.03145776227158327,0.00034828707622039037,343990.1188648949,177203.2304706322,3991.8612267516155,276.3852572119095,2.152757079414983e+22,7.584870997330513e+20
9.5,8330349.889653986,102058.0362870537,3.622398653748089e+19,1.0580834096479372e+18,4061.599517552426,273.94265810181764,0.9939438776451505,0.006633306256883006,0.14524697868370479,0.002710843361877089,0.03202609203812605,0.0003687071860991977,336759.3505819985,179567.32014511502,4037.0019739177305,273.6132971640919,2.124038149762908e+22,7.49777845188849e+20
